date,data,cols
2010-01-01,9.3676618174401,log_trend
2010-01-02,9.367862262940324,log_trend
2010-01-03,9.368076901383814,log_trend
2010-01-04,9.3683031156292,log_trend
2010-01-05,9.368596717938251,log_trend
2010-01-06,9.36894595618509,log_trend
2010-01-07,9.369001634651054,log_trend
2010-01-08,9.368736727642183,log_trend
2010-01-09,9.368308333707468,log_trend
2010-01-10,9.36761828823592,log_trend
2010-01-11,9.366883349397586,log_trend
2010-01-12,9.366112866396268,log_trend
2010-01-13,9.365110157810516,log_trend
2010-01-14,9.36391631926479,log_trend
2010-01-15,9.363114720281777,log_trend
2010-01-16,9.362735400032998,log_trend
2010-01-17,9.36252761386146,log_trend
2010-01-18,9.36264813471844,log_trend
2010-01-19,9.36270299825213,log_trend
2010-01-20,9.362671821617356,log_trend
2010-01-21,9.362887473950138,log_trend
2010-01-22,9.363269095285355,log_trend
2010-01-23,9.36304412806604,log_trend
2010-01-24,9.362179047097529,log_trend
2010-01-25,9.360984904695329,log_trend
2010-01-26,9.359252373490817,log_trend
2010-01-27,9.35751692254284,log_trend
2010-01-28,9.355801590560462,log_trend
2010-01-29,9.353653401270485,log_trend
2010-01-30,9.351178392683751,log_trend
2010-01-31,9.34975794192908,log_trend
2010-02-01,9.349474412733583,log_trend
2010-02-02,9.349747296684985,log_trend
2010-02-03,9.35095350659926,log_trend
2010-02-04,9.352170187313732,log_trend
2010-02-05,9.353358260598656,log_trend
2010-02-06,9.3553083110338,log_trend
2010-02-07,9.35783531224447,log_trend
2010-02-08,9.360384597122206,log_trend
2010-02-09,9.36301535385407,log_trend
2010-02-10,9.365881125936951,log_trend
2010-02-11,9.368867932352604,log_trend
2010-02-12,9.372514352210716,log_trend
2010-02-13,9.376850624968734,log_trend
2010-02-14,9.381524063905058,log_trend
2010-02-15,9.38666011915801,log_trend
2010-02-16,9.385767432158154,log_trend
2010-02-17,9.37813511108885,log_trend
2010-02-18,9.366820392495017,log_trend
2010-02-19,9.349740434456876,log_trend
2010-02-20,9.330471399060942,log_trend
2010-02-21,9.309053358515246,log_trend
2010-02-22,9.281419158036126,log_trend
2010-02-23,9.247810900660935,log_trend
2010-02-24,9.204280895109628,log_trend
2010-02-25,9.148384027880793,log_trend
2010-02-26,9.08020210813496,log_trend
2010-02-27,8.995649905192533,log_trend
2010-02-28,8.891418088092955,log_trend
2010-03-01,8.761214254431401,log_trend
2010-03-02,8.592030644720138,log_trend
2010-03-03,8.363433917898858,log_trend
2010-03-04,8.159478484397955,log_trend
2010-03-05,8.023709248267714,log_trend
2010-03-06,7.9212929006987665,log_trend
2010-03-07,7.909361698240579,log_trend
2010-03-08,7.903059521041741,log_trend
2010-03-09,7.897662836867684,log_trend
2010-03-10,7.97532800678871,log_trend
2010-03-11,8.104474462940976,log_trend
2010-03-12,8.157502680914831,log_trend
2010-03-13,8.14427303507546,log_trend
2010-03-14,8.112334346669451,log_trend
2010-03-15,8.027079327334206,log_trend
2010-03-16,7.981264571576922,log_trend
2010-03-17,7.986950794179378,log_trend
2010-03-18,7.965020312720103,log_trend
2010-03-19,7.937374844577139,log_trend
2010-03-20,7.925062964156992,log_trend
