t,log_trend
2010-01-01,9.3676618174401
2010-01-02,9.367862262940324
2010-01-03,9.368076901383814
2010-01-04,9.3683031156292
2010-01-05,9.368596717938253
2010-01-06,9.36894595618509
2010-01-07,9.369001634651054
2010-01-08,9.368736727642185
2010-01-09,9.368308333707468
2010-01-10,9.367618288235919
2010-01-11,9.366883349397586
2010-01-12,9.366112866396268
2010-01-13,9.365110157810516
2010-01-14,9.36391631926479
2010-01-15,9.363114720281777
2010-01-16,9.362735400032998
2010-01-17,9.36252761386146
2010-01-18,9.36264813471844
2010-01-19,9.36270299825213
2010-01-20,9.362671821617356
2010-01-21,9.362887473950138
2010-01-22,9.363269095285355
2010-01-23,9.36304412806604
2010-01-24,9.362179047097527
2010-01-25,9.360984904695327
2010-01-26,9.359252373490817
2010-01-27,9.357516922542839
2010-01-28,9.355801590560462
2010-01-29,9.353653401270483
2010-01-30,9.351178392683753
2010-01-31,9.349757941929079
2010-02-01,9.349474412733585
2010-02-02,9.349747296684985
2010-02-03,9.350953506599259
2010-02-04,9.352170187313732
2010-02-05,9.353358260598656
2010-02-06,9.3553083110338
2010-02-07,9.35783531224447
2010-02-08,9.360384597122206
2010-02-09,9.36301535385407
2010-02-10,9.365881125936951
2010-02-11,9.368867932352604
2010-02-12,9.372514352210715
2010-02-13,9.376850624968734
2010-02-14,9.381524063905058
2010-02-15,9.38666011915801
2010-02-16,9.385767432158154
2010-02-17,9.37813511108885
2010-02-18,9.366820392495015
2010-02-19,9.349740434456875
2010-02-20,9.330471399060942
2010-02-21,9.309053358515246
2010-02-22,9.281419158036126
2010-02-23,9.247810900660935
2010-02-24,9.204280895109628
2010-02-25,9.148384027880793
2010-02-26,9.080202108134959
2010-02-27,8.995649905192533
2010-02-28,8.891418088092955
2010-03-01,8.761214254431401
2010-03-02,8.592030644720138
2010-03-03,8.363433917898858
2010-03-04,8.159478484397955
2010-03-05,8.023709248267714
2010-03-06,7.9212929006987665
2010-03-07,7.909361698240579
2010-03-08,7.903059521041741
2010-03-09,7.897662836867684
2010-03-10,7.97532800678871
2010-03-11,8.104474462940976
2010-03-12,8.157502680914831
2010-03-13,8.14427303507546
2010-03-14,8.112334346669451
2010-03-15,8.027079327334206
2010-03-16,7.981264571576922
2010-03-17,7.9869507941793785
2010-03-18,7.965020312720103
2010-03-19,7.937374844577139
2010-03-20,7.925062964156992
2010-03-21,7.920945707137721
2010-03-22,7.931642153315343
2010-03-23,7.9599249052304515
2010-03-24,7.973061691407366
2010-03-25,7.971599456592776
2010-03-26,7.973623931477664
2010-03-27,7.972184605058702
2010-03-28,7.973579292592491
2010-03-29,7.979522708941856
2010-03-30,7.981695621639733
2010-03-31,7.981689517217345
2010-04-01,7.980350916898867
2010-04-02,7.976405222688542
2010-04-03,7.970378092849726
2010-04-04,7.961870073803408
2010-04-05,7.956052095181396
2010-04-06,7.953401635786308
2010-04-07,7.950915020833227
2010-04-08,7.949985700818496
2010-04-09,7.946837954921968
2010-04-10,7.941019285424457
2010-04-11,7.93553627614338
2010-04-12,7.929445319574851
2010-04-13,7.928989824001992
2010-04-14,7.93511342996824
2010-04-15,7.944109406504079
2010-04-16,7.957717360497723
2010-04-17,7.972913020272349
2010-04-18,7.989414050046244
2010-04-19,8.010090814811951
2010-04-20,8.034192411850142
2010-04-21,8.051483570361079
2010-04-22,8.061782836517043
2010-04-23,8.069728089641993
2010-04-24,8.07275731841772
2010-04-25,8.077377268546647
2010-04-26,8.083945482478311
2010-04-27,8.087025410306685
2010-04-28,8.087979485672422
2010-04-29,8.090199365704034
2010-04-30,8.093284937269491
2010-05-01,8.096478726349073
2010-05-02,8.100480738228876
2010-05-03,8.101921781454138
2010-05-04,8.100638248176914
2010-05-05,8.098822327447007
2010-05-06,8.095680264271163
2010-05-07,8.096013625929842
2010-05-08,8.100470864392102
2010-05-09,8.106160776903799
2010-05-10,8.114427758364416
2010-05-11,8.12298997078616
2010-05-12,8.131629351732848
2010-05-13,8.142608348087876
2010-05-14,8.155419721021506
2010-05-15,8.166725492348524
2010-05-16,8.176605401506674
2010-05-17,8.186391914126038
2010-05-18,8.195324346632445
2010-05-19,8.205832237079811
2010-05-20,8.218037356242144
2010-05-21,8.230120544593943
2010-05-22,8.24261867791083
2010-05-23,8.262691971471256
2010-05-24,8.290440758903411
2010-05-25,8.322454937716204
2010-05-26,8.360174592793001
2010-05-27,8.399043589527116
2010-05-28,8.438800565448059
2010-05-29,8.482598101856748
2010-05-30,8.529254623422153
2010-05-31,8.560944699483644
2010-06-01,8.57774374961961
2010-06-02,8.588131244304625
2010-06-03,8.587584422728579
2010-06-04,8.586884316594551
2010-06-05,8.586548550937241
2010-06-06,8.576962683701117
2010-06-07,8.560024438334015
2010-06-08,8.552474311801403
2010-06-09,8.554763139046068
2010-06-10,8.560161692866116
2010-06-11,8.572849457297554
2010-06-12,8.580340534597758
2010-06-13,8.582047658657231
2010-06-14,8.587619256622146
2010-06-15,8.594365934005229
2010-06-16,8.597866168577827
2010-06-17,8.598833953500295
2010-06-18,8.597551172210395
2010-06-19,8.59306360439109
2010-06-20,8.5903213406294
2010-06-21,8.589419743890447
2010-06-22,8.587115939287514
2010-06-23,8.584474106107153
2010-06-24,8.585599418379283
2010-06-25,8.590601101032425
2010-06-26,8.598300399045186
2010-06-27,8.609761564080516
2010-06-28,8.621779401077932
2010-06-29,8.6343472703493
2010-06-30,8.649951004387185
2010-07-01,8.667932564438344
2010-07-02,8.680186131656122
2010-07-03,8.686488130142159
2010-07-04,8.690425965524035
2010-07-05,8.68989362487452
2010-07-06,8.690249447456951
2010-07-07,8.691779683196463
2010-07-08,8.689959606984402
2010-07-09,8.685878245154678
2010-07-10,8.684263398426973
2010-07-11,8.68498217743366
2010-07-12,8.686495053003556
2010-07-13,8.689934406102402
2010-07-14,8.691335692648936
2010-07-15,8.690511435768647
2010-07-16,8.690361736780806
2010-07-17,8.69001529479064
2010-07-18,8.68973101494352
2010-07-19,8.689844187347264
2010-07-20,8.689610264635377
2010-07-21,8.689176248305921
2010-07-22,8.689112394025608
2010-07-23,8.689367737106435
2010-07-24,8.689801503946107
2010-07-25,8.690536594923904
2010-07-26,8.690659431589838
2010-07-27,8.690104643243762
2010-07-28,8.689409933593979
2010-07-29,8.688341743219457
2010-07-30,8.687389100898955
2010-07-31,8.686618164646585
2010-08-01,8.685596850902042
2010-08-02,8.684444666152684
2010-08-03,8.683709427510001
2010-08-04,8.683398480631018
2010-08-05,8.683344687635094
2010-08-06,8.683693938991297
2010-08-07,8.684044042857133
2010-08-08,8.68439007584972
2010-08-09,8.685063494293715
2010-08-10,8.685989015457197
2010-08-11,8.686515038205233
2010-08-12,8.686625309966557
2010-08-13,8.686584822221832
2010-08-14,8.686224930762558
2010-08-15,8.686023417690224
2010-08-16,8.686006990465327
2010-08-17,8.685793953288764
2010-08-18,8.685486565911079
2010-08-19,8.685651033791181
2010-08-20,8.686297802089294
2010-08-21,8.687229726717078
2010-08-22,8.688595088410061
2010-08-23,8.689970153288487
2010-08-24,8.691341907128619
2010-08-25,8.69305086996731
2010-08-26,8.695011844503936
2010-08-27,8.69582710583147
2010-08-28,8.695402749833777
2010-08-29,8.694341498877632
2010-08-30,8.692250878423318
2010-08-31,8.690028971498933
2010-09-01,8.687710695631196
2010-09-02,8.684489443554257
2010-09-03,8.680531799557546
2010-09-04,8.677394842248704
2010-09-05,8.675121485493047
2010-09-06,8.673077051834644
2010-09-07,8.671666985328287
2010-09-08,8.669744452802583
2010-09-09,8.667239896795603
